GEOID10,H72003_dp,H72004_dp,H72005_dp,H72006_dp,H72007_dp,H72008_dp,H72009_dp,H72003_sf,H72004_sf,H72005_sf,H72006_sf,H72007_sf,H72008_sf,H72009_sf
390490017001,949,150,0,74,1,66,42,954,143,2,82,0,56,38
390490017002,279,236,0,33,0,145,29,286,250,0,21,0,149,36
390490017003,433,195,0,6,0,41,23,428,186,0,7,0,44,22
390490018101,847,43,0,128,0,11,21,858,41,0,138,0,8,31
390490018102,690,64,0,150,1,7,28,672,69,2,150,0,13,28
390490018103,473,17,1,83,0,5,21,477,21,0,83,0,3,15
390490018104,512,47,1,117,0,6,16,504,43,0,111,0,5,14
390490018105,661,122,2,338,1,11,10,670,120,1,334,0,10,13
390490018201,641,113,6,19,0,23,22,644,116,6,20,0,25,20
390490018202,861,44,0,71,0,4,22,856,43,1,70,1,4,21
390490018203,689,26,0,39,0,2,14,688,22,0,39,0,5,17
390490019011,546,24,3,12,0,7,15,536,14,2,10,0,9,17
390490019012,1153,75,2,140,0,18,35,1163,86,2,141,1,19,31
390490019021,579,37,3,80,0,12,23,558,38,5,80,0,19,18
390490019022,1171,27,11,29,0,9,17,1185,24,7,23,0,3,21
390490019023,674,10,1,12,0,6,14,681,22,2,18,0,7,10
390490019024,645,15,2,18,0,9,6,648,9,1,16,0,5,10
390490020001,849,40,6,17,0,8,18,851,49,5,15,1,11,24
390490020002,819,49,1,29,0,17,37,816,31,1,29,0,11,23
390490020003,1174,139,0,21,0,8,19,1170,149,1,24,0,10,31
390490021001,1645,43,2,62,1,13,37,1648,47,3,62,0,15,33
390490022001,1450,268,5,44,0,17,66,1455,268,6,44,1,16,61
390490023001,102,431,7,12,0,5,17,101,425,6,11,0,1,23
390490023002,61,775,10,1,0,2,32,64,782,10,3,1,6,20
390490025101,118,651,0,11,0,3,18,118,651,0,6,0,1,26
390490025102,74,830,3,12,0,13,33,67,837,6,16,0,6,19
390490025103,184,792,4,1,0,83,31,188,771,3,19,0,89,33
390490025201,39,592,0,1,0,0,38,46,573,0,0,0,0,43
390490025202,137,683,4,5,0,4,43,130,705,4,6,0,4,46
390490025203,282,774,0,10,3,4,28,284,763,1,9,1,4,29
390490026001,206,683,13,3,1,15,53,209,691,15,4,0,17,56
390490026002,345,638,2,4,0,3,24,344,641,5,3,0,12,16
