GEOID10,H72003_dp,H72004_dp,H72005_dp,H72006_dp,H72007_dp,H72008_dp,H72009_dp,H72003_sf,H72004_sf,H72005_sf,H72006_sf,H72007_sf,H72008_sf,H72009_sf
39049001810,3183,293,4,816,2,40,96,3181,294,3,816,0,39,101
39049001820,2191,183,6,129,0,29,58,2188,181,7,129,1,34,58
39049001901,1699,99,5,152,0,25,50,1699,100,4,151,1,28,48
39049001902,3069,89,17,139,0,36,60,3072,93,15,137,0,34,59
39049002000,2842,228,7,67,0,33,74,2837,229,7,68,1,32,78
39049002100,1645,43,2,62,1,13,37,1648,47,3,62,0,15,33
39049002200,1450,268,5,44,0,17,66,1455,268,6,44,1,16,61
39049002300,163,1206,17,13,0,7,49,165,1207,16,14,1,7,43
39049002510,376,2273,7,24,0,99,82,373,2259,9,41,0,96,78
39049002520,458,2049,4,16,3,8,109,460,2041,5,15,1,8,118
39049002600,965,2186,26,30,2,674,146,958,2177,28,27,0,678,160
39049002710,423,1181,16,13,10,133,79,424,1183,15,11,11,135,79
39049002730,566,1342,9,22,0,64,103,571,1342,7,23,1,56,104
39049002740,1738,485,5,17,0,36,32,1741,486,4,15,1,38,31
39049002750,699,1399,2,44,6,70,131,694,1399,3,42,5,69,137
39049002760,1733,1147,10,30,3,72,73,1726,1154,8,32,2,68,76
39049002770,538,1294,11,18,1,47,83,541,1295,7,18,2,50,82
39049002780,1438,875,4,30,0,16,59,1439,877,5,29,0,12,61
39049002800,266,2201,20,12,5,16,107,277,2194,15,9,4,18,112
39049002900,100,2101,5,20,48,17,74,97,2099,5,20,51,20,76
39049003000,2073,793,5,111,0,26,98,2082,779,10,106,0,25,103
39049003200,1798,142,6,85,0,70,48,1801,145,5,83,0,72,41
39049003600,248,1107,5,6,0,7,71,241,1116,6,4,0,6,69
39049003700,968,2127,20,26,0,10,154,973,2115,19,24,0,18,154
39049003800,944,852,11,10,0,9,73,949,848,7,12,1,8,71
39049004000,1901,783,10,110,0,34,97,1898,785,10,112,0,31,105
39049004200,503,794,7,0,0,7,56,503,789,5,1,2,9,61
39049004300,4561,493,12,264,3,103,176,4554,498,13,261,2,109,176
39049004500,4019,674,24,61,0,129,248,4019,673,27,62,0,123,250
39049004610,2945,190,9,33,0,75,118,2948,189,11,35,1,76,108
39049004620,1933,370,8,60,0,126,158,1911,375,13,61,0,127,172
39049004700,2694,1550,39,87,0,250,353,2697,1555,36,81,3,247,352
39049004810,2347,273,11,72,0,88,101,2341,279,11,71,0,84,105
39049004820,1809,518,7,42,6,104,101,1818,497,8,61,1,107,97
39049004900,3887,1220,14,103,6,175,243,3882,1220,18,106,7,172,246
39049005000,4076,773,30,46,0,28,252,4060,786,31,46,0,36,246
39049005100,809,993,12,12,9,12,78,817,996,10,13,7,14,71
39049005200,2315,130,3,55,0,7,73,2315,139,4,58,0,10,58
39049005300,673,2259,5,18,0,10,87,674,2251,9,19,0,12,89
39049005410,96,1216,3,1,0,7,39,92,1216,6,2,0,4,42
39049005420,168,1869,4,12,0,22,76,177,1862,5,7,0,24,76
39049005500,335,3611,13,6,0,41,221,339,3605,13,14,0,42,215
39049005610,577,1062,13,4,0,21,104,573,1072,9,2,0,20,108
39049005620,1586,800,9,19,0,30,100,1580,815,10,14,0,26,97
39049005700,3289,197,5,65,0,8,65,3294,187,8,68,0,12,60
39049005810,2327,113,2,32,0,25,49,2330,121,1,24,1,19,52
39049005820,1975,130,10,21,0,12,85,1973,129,10,26,0,15,77
39049005900,606,1773,15,22,2,12,113,598,1773,17,28,2,11,117
39049006000,1170,1000,1,11,0,27,136,1181,999,3,8,0,25,129
39049006100,1841,407,21,7,0,26,93,1839,414,24,7,0,22,92
39049006220,5523,186,4,589,2,90,134,5523,187,6,593,1,89,128
39049006230,9309,434,16,2859,1,187,319,9306,429,12,2863,2,184,331
39049006236,5345,71,2,467,1,7,84,5354,70,0,459,0,9,87
39049006310,4157,27,6,167,0,15,69,4160,28,5,169,0,12,65
39049006321,3712,32,3,241,0,17,83,3712,34,6,240,1,15,78
39049006323,2971,37,2,236,3,17,48,2974,36,4,238,2,21,43
39049006330,4349,37,9,199,3,18,102,4357,36,6,196,1,21,99
39049006340,2684,35,2,310,2,13,63,2683,34,2,306,0,14,66
39049006351,3237,192,4,195,0,33,128,3246,188,3,197,0,30,125
39049006352,1983,220,8,608,0,84,81,1980,221,8,606,2,88,80
39049006353,3264,268,6,533,1,260,134,3270,263,6,532,0,259,132
39049006371,4869,349,12,782,4,241,217,4852,367,8,775,6,242,222
39049006372,4101,499,7,651,2,284,195,4096,501,7,651,5,277,201
39049006383,6969,544,20,725,0,315,241,6972,542,17,727,0,309,246
39049006384,5033,251,10,612,1,114,169,5030,251,10,612,1,110,180
39049006386,2809,196,0,533,1,68,95,2802,198,2,540,1,69,90
39049006387,4493,274,12,431,3,163,150,4501,275,11,426,4,157,153
39049006391,4259,113,4,301,3,19,68,4259,119,1,297,3,23,68
39049006392,3909,85,9,296,0,19,68,3905,87,6,301,0,17,70
39049006393,4368,215,12,481,3,37,123,4377,209,18,481,7,34,113
39049006394,2380,120,4,123,2,31,89,2372,119,3,132,0,36,88
39049006395,2748,153,6,564,3,92,107,2750,152,9,564,0,92,106
39049006396,3458,183,9,406,0,103,132,3471,184,8,401,0,98,127
39049006410,2502,28,0,69,0,11,57,2508,25,0,71,1,11,50
39049006430,3965,27,7,353,2,14,89,3962,26,7,354,0,23,87
39049006500,3533,8,1,59,0,16,29,3533,9,5,61,0,14,24
39049006600,3749,42,0,50,1,1,59,3742,49,1,55,2,2,52
39049006710,2431,88,0,57,0,18,74,2432,83,2,54,2,21,72
39049006721,3221,45,0,67,2,8,47,3219,41,1,68,0,5,56
39049006722,2523,131,2,75,1,29,67,2527,131,1,73,0,25,71
39049006810,2058,17,4,23,0,6,33,2055,17,0,25,2,6,35
39049006821,2431,647,8,72,0,32,136,2427,652,9,75,0,44,120
