GEOID10,H72003_dp,H72004_dp,H72005_dp,H72006_dp,H72007_dp,H72008_dp,H72009_dp,H72003_sf,H72004_sf,H72005_sf,H72006_sf,H72007_sf,H72008_sf,H72009_sf
390490004102003,86,4,0,2,0,0,3,89,1,0,3,0,0,3
390490004102004,98,6,0,6,0,1,0,96,7,0,4,0,1,4
390490004102005,138,0,1,4,0,0,7,137,1,4,2,0,0,2
390490004102006,128,4,0,2,0,2,8,127,1,1,1,1,2,9
390490004102007,169,2,2,0,0,3,8,164,4,0,3,0,4,8
390490004102008,64,0,0,0,0,0,2,70,1,0,1,0,0,1
390490004201000,219,1,0,0,0,0,3,219,7,0,2,0,3,7
390490004201001,163,1,0,0,0,0,3,168,0,0,6,0,1,6
390490004201002,141,1,0,0,0,0,1,141,4,0,0,0,3,3
390490004201003,59,4,0,5,0,0,2,51,0,0,2,0,0,0
390490004201004,27,1,0,2,0,2,3,27,0,0,0,0,0,0
390490004201005,20,0,1,1,0,0,1,24,0,0,0,0,0,0
390490004202000,25,1,0,0,0,0,2,24,1,0,0,0,0,0
390490004202001,22,2,0,0,0,0,0,24,0,0,0,0,0,0
390490004202002,78,0,0,1,0,0,1,81,2,0,1,0,0,5
390490004202005,180,5,0,5,0,3,2,190,0,0,2,0,0,4
390490004202006,67,2,0,0,0,0,4,65,3,0,1,0,0,0
390490004202007,54,1,0,0,0,1,2,56,0,0,1,0,0,0
390490004202008,66,0,0,1,0,0,0,69,0,0,1,0,0,4
390490004202009,78,5,0,0,0,0,0,76,3,0,1,0,1,0
390490004202010,59,0,0,2,0,0,4,63,2,1,1,0,0,1
390490004202011,76,1,0,0,0,0,2,69,0,0,0,0,1,2
390490004202012,30,3,2,1,0,0,1,37,0,0,0,0,0,0
390490004202013,87,0,0,0,0,1,6,79,0,0,0,0,0,4
390490004202015,55,0,0,0,0,0,0,44,2,0,2,0,0,1
390490004202016,58,0,0,0,0,3,6,59,1,1,0,0,1,0
390490004203000,140,17,1,1,1,0,6,142,15,1,1,0,0,5
390490004203001,75,0,0,0,0,0,6,83,2,0,0,0,0,3
390490004203002,86,4,2,8,0,0,2,87,3,0,8,0,1,0
390490004203003,80,0,0,0,0,0,3,85,0,0,1,0,0,1
390490004203004,40,2,1,0,0,0,3,36,0,0,1,0,0,0
390490004203005,8,4,0,5,0,0,2,17,1,0,0,0,1,0
390490004203006,110,3,0,3,0,1,0,121,0,0,1,0,0,1
390490004203007,49,2,0,5,0,0,0,47,1,0,3,0,0,0
390490004203008,34,0,0,1,0,0,2,23,5,0,0,0,0,0
390490004204000,165,0,0,0,0,0,2,162,0,2,0,0,0,0
390490004204001,15,0,0,4,0,0,1,16,0,0,0,0,1,1
390490004204002,58,1,0,0,0,0,0,60,0,0,4,0,0,0
390490004204003,95,2,0,3,0,0,2,88,3,0,0,0,0,8
390490004204004,217,0,0,2,0,0,0,214,3,1,5,0,0,7
390490004204005,96,0,0,0,0,0,1,94,2,0,1,0,0,1
390490004204006,100,1,1,2,0,0,0,96,0,0,6,0,0,8
390490005001001,6,1,0,0,0,0,2,5,0,0,0,0,0,0
390490005001002,41,5,0,0,0,0,3,43,3,0,1,0,0,6
390490005001003,55,1,1,1,0,0,1,54,2,0,0,0,1,1
390490005001004,59,0,0,6,0,0,1,57,1,0,4,0,0,4
390490005001005,50,0,0,5,0,0,0,46,2,0,0,0,0,3
390490005001006,62,0,0,0,0,0,3,52,1,0,0,0,0,1
390490005001007,54,1,0,0,0,0,2,58,6,1,1,0,0,1
390490005001008,62,0,0,2,0,0,7,62,0,0,1,0,2,2
390490005001009,40,0,0,0,0,0,0,45,1,0,1,0,0,1
390490005001010,53,5,0,2,0,0,0,49,0,0,3,0,0,3
390490005001011,44,3,0,1,0,0,2,53,0,0,3,0,0,3
390490005001012,66,1,0,0,0,0,2,68,0,0,0,0,0,0
390490005001013,52,2,0,0,0,0,1,48,0,0,0,0,0,1
390490005001014,51,10,0,0,0,0,2,60,1,0,0,0,0,0
390490005001015,49,0,1,3,0,1,0,49,2,0,0,0,0,0
390490005001016,56,0,0,0,0,1,1,52,1,0,0,0,0,0
390490005001017,49,0,0,0,0,0,3,46,2,0,2,0,0,1
390490005002000,199,6,0,2,0,0,0,203,6,3,4,0,0,4
390490005002002,33,0,0,0,0,0,4,30,11,0,0,0,0,0
390490005002003,18,0,0,0,0,0,0,18,0,0,0,0,0,0
390490005002005,55,0,1,3,0,0,4,53,1,1,1,0,0,0
390490005002006,82,0,0,1,0,0,0,78,3,1,2,0,0,4
390490005002007,82,6,0,1,0,1,2,81,2,0,5,0,0,5
390490005002008,87,0,0,3,0,1,2,92,2,0,11,0,0,5
390490005002010,216,0,0,0,0,0,3,224,3,1,3,0,0,6
390490005002011,67,7,0,4,0,1,2,59,2,0,0,0,0,1
390490005003001,57,6,0,2,0,0,0,56,3,0,1,0,0,0
390490005003002,52,1,0,1,0,0,3,47,2,0,1,0,0,0
390490005003003,53,0,0,0,0,0,2,56,1,0,3,0,0,0
390490005003004,57,2,0,5,0,2,0,55,1,0,2,0,0,1
390490005003005,61,0,0,0,0,1,1,57,0,0,1,0,0,1
390490005003006,139,4,0,42,0,1,4,143,4,0,44,0,8,8
390490005003007,42,0,0,3,0,2,2,41,3,0,1,0,1,4
390490005003008,59,5,1,5,0,1,2,60,0,0,0,0,0,0
390490005003009,73,2,0,2,0,0,4,74,0,0,0,0,0,0
390490005003010,44,0,0,0,0,0,8,44,3,0,0,0,0,1
390490005003011,51,0,0,0,0,0,0,49,0,1,1,0,0,2
390490005003012,42,1,0,2,0,0,0,52,2,0,0,0,3,0
390490005003013,80,1,0,0,0,2,4,80,0,0,0,0,0,1
390490005003014,66,4,0,4,0,2,0,65,3,0,0,0,0,1
390490005003015,55,4,0,0,0,0,1,53,1,0,1,0,2,3
390490005003016,39,0,0,3,0,3,1,40,0,0,0,0,0,0
390490005004000,125,7,0,5,0,2,2,129,6,0,5,0,0,3
390490005004001,589,20,0,153,0,6,16,593,24,0,155,0,14,22
390490005004002,1,0,0,0,0,3,3,5,0,0,0,0,0,0
390490005004003,61,0,0,14,0,0,10,55,1,0,14,0,2,0
