GEOID10,obj
390490077222013,8.0
390490077222014,7.0
390490077222015,4.0
390490077222016,0.0
390490077222017,7.0
390490077222018,4.0
390490077222019,0.0
390490077222020,0.0
390490077222021,4.0
390490077223003,0.0
390490077223010,0.0
390490077223012,0.0
390490077223014,0.0
390490077401003,1.0
390490077401014,0.0
390490077401015,0.0
390490077401016,0.0
390490077401017,0.0
390490077401023,4.0
390490077401027,0.0
390490077401028,0.0
390490077401030,0.0
390490077401032,0.0
390490077401034,0.0
390490077401035,0.0
390490078122001,0.0
390490078122008,0.0
390490078122009,0.0
390490078124001,0.0
390490078301003,0.0
390490078301005,34.0
390490078301006,0.0
390490078301007,0.0
390490078301008,4.0
390490078301009,0.0
390490078301010,0.0
390490078301011,20.0
390490078301012,0.0
390490078301013,4.0
390490078301014,0.0
390490078301015,0.0
390490078302000,23.0
390490078302005,0.0
390490078302006,1.0
390490078303006,0.0
390490001101000,0.0
390490001101001,1.0
