PUMAID,RAC1P,RAC3P,AGEP,HISP,RELSHIPP,SEX
3904105,1,1,20,1,38,2
3904110,1,1,71,1,20,2
3904109,1,1,25,1,20,1
3904109,1,1,27,1,21,2
3904105,1,1,25,1,20,1
3904105,1,1,37,1,20,1
3904105,1,1,37,1,21,2
3904105,1,1,1,1,25,2
3904105,1,1,18,1,38,2
3904107,1,1,67,1,20,1
3904107,1,1,64,1,21,2
3904107,1,1,35,1,25,1
3904107,2,2,95,1,20,2
3904107,2,2,75,1,25,1
3904107,2,2,59,1,25,1
3904107,2,2,24,1,30,1
3904102,1,1,78,1,20,1
3904102,1,1,75,1,21,2
3904109,1,1,36,1,20,1
3904109,1,1,35,1,21,2
3904109,1,1,10,1,25,1
3904109,1,1,10,1,25,2
3904109,1,1,8,1,25,1
3904104,1,1,61,1,20,1
3904104,1,1,58,1,21,2
3904104,1,1,27,1,25,1
3904109,1,1,24,1,20,2
3904109,1,1,31,1,21,1
3904109,1,1,12,1,27,1
3904109,1,1,10,1,27,1
3904109,1,1,5,1,27,2
3904109,1,1,3,1,27,1
3904101,1,1,53,1,20,2
3904101,1,1,53,1,23,2
3904103,1,1,58,1,20,1
3904106,2,2,67,1,20,2
3904106,2,2,50,1,25,1
3904110,6,10,49,1,20,2
3904110,1,1,61,1,21,1
3904110,6,10,17,1,25,2
3904110,6,10,15,1,25,1
3904110,9,24,10,1,25,1
3904110,6,10,0,1,30,1
3904111,1,1,50,1,20,1
3904111,1,1,40,1,21,2
3904111,1,1,16,1,25,1
3904111,1,1,15,1,25,1
3904111,1,1,1,1,25,2
3904101,1,1,27,1,20,1
3904103,1,1,53,1,20,2
3904106,1,1,69,1,20,2
3904106,1,1,25,1,30,2
3904106,1,1,24,1,30,1
3904106,8,15,19,1,30,1
3904106,1,1,17,1,30,2
3904106,1,1,15,1,30,1
3904104,1,1,66,1,20,2
3904109,1,1,34,1,20,1
3904109,1,1,30,1,21,2
3904109,1,1,1,1,25,2
3904104,1,1,47,1,20,2
3904104,1,1,17,1,25,1
3904104,1,1,16,1,25,2
3904104,1,1,14,1,25,1
3904104,1,1,56,1,20,2
3904104,1,1,59,1,21,1
3904106,2,2,27,1,20,2
3904106,2,2,9,1,25,2
3904106,2,2,8,1,25,2
3904106,2,2,4,1,25,2
3904106,2,2,2,1,25,1
3904106,2,2,0,1,25,2
3904109,1,1,44,1,20,2
3904109,1,1,19,1,25,2
3904109,1,1,44,1,22,1
3904111,1,1,67,1,20,1
3904111,1,1,31,1,25,1
3904107,1,1,23,1,20,1
3904108,8,15,24,5,20,2
3904108,8,15,24,5,21,1
3904106,1,1,24,1,20,2
3904106,9,16,3,1,25,1
3904106,9,16,2,1,25,1
3904106,9,16,1,1,25,1
3904101,1,1,57,1,20,1
3904101,1,1,58,1,21,2
3904101,1,1,28,1,25,1
3904101,1,1,23,1,25,1
3904107,1,1,69,1,20,2
3904102,1,1,44,1,20,1
3904102,1,1,43,1,21,2
3904102,1,1,20,1,25,2
3904102,1,1,16,1,25,1
3904102,1,1,7,1,25,2
3904104,2,2,39,1,20,2
3904104,9,16,10,1,25,2
3904104,9,16,8,1,25,2
3904106,2,2,76,1,20,2
3904104,1,1,23,1,20,2
3904104,1,1,24,1,22,1
3904105,1,1,19,1,38,1
3904106,1,1,51,1,20,1
3904106,1,1,48,1,21,2
3904106,2,2,27,1,27,2
3904101,1,1,84,1,20,1
3904101,1,1,33,1,20,2
3904101,1,1,13,1,25,1
3904101,1,1,11,1,25,2
3904101,1,1,37,1,20,2
3904101,1,1,4,1,25,2
3904104,1,1,67,1,20,2
3904104,1,1,41,1,20,2
3904104,1,1,43,1,21,1
3904104,1,1,12,1,25,2
3904104,1,1,7,1,25,2
3904109,1,1,45,1,20,1
3904101,1,1,47,1,20,2
3904101,1,1,53,1,21,1
3904101,1,1,18,1,25,1
3904101,1,1,14,1,25,2
3904104,1,1,20,1,20,2
3904109,2,2,37,1,20,2
3904102,1,1,75,1,20,1
3904102,1,1,73,1,21,2
3904105,9,24,45,1,20,1
3904105,9,24,32,1,21,2
3904106,2,2,55,1,20,2
3904106,2,2,39,1,25,2
3904106,2,2,17,1,25,2
3904106,2,2,58,1,22,1
3904101,1,1,51,1,20,2
3904101,1,1,18,1,25,1
3904110,1,1,58,1,20,1
3904110,1,1,65,1,20,1
3904110,1,1,67,1,21,2
3904110,1,1,64,1,36,2
3904103,1,1,29,1,20,2
3904103,1,1,31,1,21,1
3904108,1,1,41,1,20,1
3904108,1,1,40,1,21,2
3904106,2,2,84,1,20,1
3904109,1,1,43,1,20,1
3904109,1,1,7,1,25,1
3904109,1,1,4,1,25,2
3904109,1,1,29,1,34,2
3904105,1,1,24,1,20,1
3904101,1,1,46,1,20,2
3904101,1,1,13,2,25,2
3904101,1,1,11,1,25,1
3904101,1,1,46,1,34,1
3904108,2,2,34,1,20,2
3904108,2,2,16,1,25,1
3904108,2,2,10,1,25,1
3904105,2,2,19,1,38,1
3904109,1,1,52,1,20,2
3904109,1,1,52,1,21,1
3904102,1,1,64,1,20,2
3904102,1,1,75,1,21,1
3904107,2,2,63,1,20,2
3904107,2,2,62,1,22,1
3904101,1,1,38,1,20,2
3904101,3,3,41,1,21,1
3904101,3,3,17,1,25,1
3904101,3,3,15,1,25,1
3904101,1,1,43,1,20,2
3904101,1,1,44,1,21,1
3904110,6,6,53,1,20,1
3904110,6,6,50,1,21,2
3904110,6,6,15,1,25,2
3904110,6,6,11,1,25,1
3904102,1,1,36,1,20,1
3904101,1,1,46,1,20,2
3904101,1,1,13,1,25,1
3904101,2,2,48,1,22,1
3904110,1,1,24,1,20,1
3904106,2,2,51,1,20,2
3904106,2,2,56,1,21,1
3904109,1,1,52,1,20,2
3904109,1,1,52,1,21,1
3904109,1,1,37,1,20,1
3904109,1,1,34,1,21,2
3904109,1,1,5,1,25,2
3904109,1,1,4,1,25,2
3904111,1,1,49,1,20,2
3904111,1,1,49,1,21,1
3904111,1,1,17,1,25,2
3904105,6,4,19,1,38,2
3904110,1,1,26,2,20,2
3904110,1,1,27,2,21,1
3904110,1,1,6,2,25,1
3904110,1,1,4,2,25,2
3904110,1,1,0,2,25,1
3904101,1,1,36,1,20,1
3904102,1,1,58,1,20,1
3904107,1,1,25,1,20,1
3904111,1,1,43,1,20,1
3904111,1,1,47,1,21,2
3904111,1,1,12,1,25,1
3904111,1,1,11,1,25,1
3904111,1,1,9,1,25,2
3904106,2,2,80,1,20,1
3904106,2,2,67,1,21,2
3904107,1,1,85,1,20,1
3904107,1,1,75,1,20,1
3904111,2,2,47,1,20,1
3904111,1,1,32,1,22,2
3904105,1,1,51,1,20,1
3904105,1,1,56,1,21,2
3904107,2,2,60,1,20,1
3904103,1,1,31,1,20,2
3904107,2,2,68,1,20,2
3904107,2,2,68,1,21,1
3904105,1,1,40,1,20,1
3904105,1,1,16,1,27,1
3904105,1,1,11,1,27,1
3904105,1,1,40,1,22,2
3904105,1,1,22,1,20,1
3904111,1,1,31,1,20,1
3904111,1,1,34,1,21,2
3904111,1,1,7,1,25,2
3904111,1,1,4,1,25,1
3904106,1,1,50,1,20,2
3904105,1,1,41,1,20,2
3904105,1,1,19,1,25,1
3904105,1,1,34,1,34,1
