PUMAID,SEX,RAC1P,AGEP,DIS,MSP,MIG,MIL,SCHL,FOD1P,HICOV,PRIVCOV,PUBCOV,PINCP,POVPIP,COW,ESR,SOCP,JWMNP,JWRIP,JWTRNS
3904107,1,1,49,2,1.0,1.0,4.0,19.0,,1,1,2,51000.0,501.0,2.0,1.0,292042,30.0,1.0,1.0
3904107,1,1,42,2,1.0,1.0,4.0,21.0,6107.0,1,1,2,96000.0,501.0,2.0,1.0,119111,20.0,1.0,1.0
3904101,1,1,36,2,1.0,1.0,4.0,19.0,,1,1,2,105000.0,371.0,1.0,1.0,414010,15.0,1.0,1.0
3904101,2,1,32,2,1.0,1.0,4.0,16.0,,1,1,2,0.0,371.0,,6.0,,,,
3904101,2,1,9,2,,1.0,,6.0,,1,1,2,,371.0,,,,,,
3904101,1,1,7,2,,1.0,,3.0,,1,1,2,,371.0,,,,,,
3904101,2,1,5,2,,1.0,,1.0,,1,1,2,,371.0,,,,,,
3904107,2,2,83,1,4.0,1.0,4.0,16.0,,1,2,1,31200.0,239.0,,6.0,,,,
3904107,2,2,60,2,6.0,1.0,4.0,16.0,,1,2,1,13200.0,239.0,1.0,1.0,311122,20.0,1.0,1.0
3904107,1,2,54,2,6.0,1.0,2.0,16.0,,1,2,1,0.0,239.0,,6.0,,,,
3904104,1,1,31,2,1.0,3.0,4.0,22.0,6203.0,1,1,2,84200.0,501.0,1.0,1.0,113031,15.0,1.0,1.0
3904104,2,1,31,2,1.0,3.0,4.0,22.0,3604.0,1,1,2,48600.0,501.0,3.0,1.0,252020,30.0,1.0,1.0
3904104,2,1,4,2,,3.0,,1.0,,1,1,2,,501.0,,,,,,
3904104,2,1,2,2,,3.0,,,,1,1,2,,501.0,,,,,,
3904107,2,1,55,1,4.0,1.0,4.0,18.0,,1,2,1,20300.0,164.0,1.0,1.0,537065,12.0,1.0,1.0
3904106,2,2,55,2,6.0,1.0,4.0,16.0,,1,2,1,14500.0,117.0,,6.0,,,,
3904106,2,1,49,1,2.0,1.0,4.0,16.0,,1,1,2,22000.0,178.0,1.0,1.0,311122,40.0,1.0,1.0
3904105,1,1,19,2,6.0,3.0,4.0,16.0,,1,1,2,3000.0,24.0,1.0,6.0,397010,,,
3904105,1,1,23,2,6.0,3.0,4.0,16.0,,1,1,2,0.0,0.0,1.0,6.0,412031,,,
3904105,1,1,23,2,6.0,3.0,4.0,21.0,6200.0,1,1,2,22000.0,178.0,1.0,1.0,111021,8.0,1.0,1.0
3904105,1,1,23,2,6.0,3.0,4.0,16.0,,1,1,2,12000.0,97.0,1.0,1.0,352010,10.0,,10.0
3904105,1,6,23,2,6.0,3.0,4.0,21.0,6000.0,1,1,2,3100.0,25.0,1.0,6.0,412031,,,
3904105,1,1,23,1,6.0,3.0,4.0,17.0,,1,1,2,8000.0,64.0,3.0,1.0,537062,10.0,,10.0
3904105,1,1,23,2,6.0,3.0,4.0,16.0,,1,1,2,20600.0,167.0,1.0,1.0,412031,10.0,1.0,1.0
3904105,1,6,20,2,6.0,1.0,4.0,14.0,,1,1,2,30500.0,247.0,1.0,6.0,119051,,,
