BLK,detail,va_race,race
390490007305007,0,0,0
390490007305008,2,2,0
390490008101000,1,0,0
390490008101001,0,0,0
390490008101002,2,0,0
390490008101003,0,0,0
390490008101004,0,0,0
390490008101005,0,0,0
390490008101006,0,0,0
390490008101007,0,0,0
390490008101008,0,0,0
390490008101009,1,0,0
390490008101010,0,0,0
390490008101011,1,0,0
390490008101012,1,1,1
390490008101013,1,1,1
390490008101014,1,1,0
390490008101015,1,0,0
390490008101016,1,0,0
390490008102000,1,0,0
390490008102001,3,3,1
390490008102002,0,0,0
390490008102003,0,0,0
390490008102004,0,0,0
390490008102005,2,2,1
390490008102006,0,0,0
390490008102007,1,1,1
390490008102008,2,2,2
390490008102009,2,2,1
390490008103000,1,1,1
390490008103001,1,1,1
390490008103002,1,1,0
390490008103003,4,4,2
390490008103004,1,1,0
390490008103005,1,1,0
390490008103006,1,0,0
390490008103007,1,1,0
390490008103008,0,0,0
390490008103009,0,0,0
390490008103010,0,0,0
390490008103011,2,2,0
390490008103012,2,0,0
390490008103013,2,2,0
390490008201000,0,0,0
390490008201001,1,1,1
390490008201002,0,0,0
390490008201003,0,0,0
390490008201004,0,0,0
390490008201005,0,0,0
390490008201006,0,0,0
390490008201007,0,0,0
390490008201008,0,0,0
390490008201009,4,1,1
390490008201010,1,1,0
390490008201011,0,0,0
390490008201012,0,0,0
390490008201013,0,0,0
390490008201014,0,0,0
390490008201015,0,0,0
390490008201016,1,1,0
390490008201017,0,0,0
390490008201018,1,1,0
390490008201019,0,0,0
390490008201020,0,0,0
390490008201021,1,1,1
390490008201022,0,0,0
390490008201023,1,1,1
390490008201024,3,3,1
390490008201025,1,1,1
390490008201026,0,0,0
390490008201027,0,0,0
390490008201028,3,3,2
390490008201029,0,0,0
390490008201030,0,0,0
390490008201031,0,0,0
390490008201032,1,1,1
390490008201033,0,0,0
390490008201034,0,0,0
390490008201035,2,0,0
390490008201036,0,0,0
390490008201037,2,2,0
390490008201038,0,0,0
390490008201039,0,0,0
390490008201040,1,1,0
390490008201041,1,1,1
390490008201042,2,2,1
390490008201043,0,0,0
390490008201044,4,3,2
390490008201045,0,0,0
390490008202000,0,0,0
390490008202001,0,0,0
390490008202002,1,1,1
390490008202003,0,0,0
390490008202004,0,0,0
390490008202005,1,1,1
390490008202006,0,0,0
390490008202007,1,1,0
390490008202008,1,1,1
390490008202009,1,1,1
390490008202010,1,1,0
390490008202011,0,0,0
390490008202012,2,2,1
390490008202013,1,1,0
390490008202014,1,1,1
390490008202015,0,0,0
390490008202016,0,0,0
390490008202017,1,1,0
390490008202018,0,0,0
390490008202019,0,0,0
390490008202020,0,0,0
390490008202021,1,1,1
390490008202022,0,0,0
390490008202023,0,0,0
390490008202024,0,0,0
390490008202025,1,1,1
390490008203000,2,1,1
390490008203001,0,0,0
390490008203002,1,0,0
390490008203003,2,2,2
390490008203004,2,2,0
390490008203005,0,0,0
390490008203006,0,0,0
390490008203007,0,0,0
390490008203008,1,1,1
390490008203009,2,2,2
390490008203010,0,0,0
390490008203011,0,0,0
390490008203012,2,2,1
390490008203013,1,1,0
390490008203014,1,1,1
390490008203015,1,1,1
390490008203016,1,1,1
390490008203017,1,1,0
390490008203018,1,1,1
390490008203019,0,0,0
390490008203020,0,0,0
390490008203021,0,0,0
390490008203022,0,0,0
390490008203023,0,0,0
390490008203024,1,0,0
390490008203025,0,0,0
390490008203026,0,0,0
390490008203027,1,1,1
390490008203028,0,0,0
390490008203029,0,0,0
390490008203030,0,0,0
390490008203031,2,2,0
390490008203032,0,0,0
390490008203033,2,1,0
390490008204000,0,0,0
390490008204001,1,1,0
390490008204002,0,0,0
390490008204003,0,0,0
390490008204004,3,1,0
390490008204005,1,1,1
390490008204006,1,1,0
390490008204007,0,0,0
390490008204008,1,1,1
390490008204009,0,0,0
390490008204010,2,2,0
390490008204011,1,1,1
390490008204012,2,2,1
390490008204013,1,1,0
390490008204014,0,0,0
390490008204015,0,0,0
390490008204016,0,0,0
390490008204017,2,2,0
390490008204018,1,1,1
390490008204019,1,0,0
390490008204020,2,2,0
390490008204021,4,3,1
390490008204022,4,4,0
390490008204023,2,2,0
390490008204024,1,1,1
390490008204025,0,0,0
390490008204026,2,2,2
390490008204027,4,4,4
390490008204028,1,1,1
390490009101000,0,0,0
390490009101001,2,2,1
390490009101002,1,1,1
390490009101003,1,1,1
390490009101004,0,0,0
390490009101005,1,1,0
390490009101006,2,2,1
390490009101007,1,1,1
390490009101008,0,0,0
390490009102000,1,1,1
390490009102001,1,1,1
390490009102002,0,0,0
390490009102003,2,0,0
390490009102004,3,0,0
390490009102005,1,1,0
390490009102006,0,0,0
390490009102007,4,4,0
390490009102008,4,3,1
390490009102009,0,0,0
390490009102010,2,0,0
390490009102011,1,1,0
390490009102012,0,0,0
390490009102013,2,1,1
390490009102014,1,1,1
390490009102015,0,0,0
390490009102016,0,0,0
390490009102017,0,0,0
390490009102018,2,2,0
390490009102019,1,1,1
390490009102020,2,2,0
390490009102021,1,1,1
390490009102022,3,3,2
390490009103000,1,1,0
390490009103001,1,1,1
390490009103002,2,2,0
390490009103003,2,2,2
390490009103004,0,0,0
390490009103005,2,2,1
390490009103006,1,1,1
390490009103007,0,0,0
390490009103008,0,0,0
390490009103009,1,0,0
390490009103010,2,2,1
390490009103011,1,1,1
390490009103012,1,1,1
390490009104000,1,1,1
390490009104001,2,2,2
390490009104002,1,1,1
390490009104003,0,0,0
390490009104004,5,3,2
390490009104005,0,0,0
390490009104006,1,1,1
390490009104007,2,2,2
390490009104008,0,0,0
390490009104009,0,0,0
390490009104010,1,1,1
390490009104011,0,0,0
390490009104012,1,1,1
390490009201000,0,0,0
390490009201001,3,3,1
390490009201002,3,2,2
390490009201003,0,0,0
390490009201004,2,1,0
390490009201005,1,1,1
390490009201006,0,0,0
390490009201007,2,2,1
390490009201008,1,1,0
390490009201009,0,0,0
390490009201010,0,0,0
390490009201011,8,6,1
390490009201012,0,0,0
390490009201013,0,0,0
390490009201014,1,1,0
390490009201015,0,0,0
390490009201016,0,0,0
390490009201017,1,1,1
390490009201018,2,2,2
390490009201019,0,0,0
390490009201020,0,0,0
390490009201021,0,0,0
390490009201022,1,1,0
390490009201023,1,1,0
390490009201024,1,1,1
390490009202000,0,0,0
390490009202001,0,0,0
390490009202002,1,1,1
390490009202003,0,0,0
390490009202004,0,0,0
390490009202005,1,1,0
390490009202006,1,1,0
390490009202007,1,1,1
390490009202008,0,0,0
390490009202009,1,1,1
390490009202010,0,0,0
390490009202011,0,0,0
390490009203000,0,0,0
390490009203001,0,0,0
390490009203002,0,0,0
390490009203003,0,0,0
390490009203004,0,0,0
390490009203005,1,1,1
390490009203006,1,1,1
390490009203007,0,0,0
390490009203008,0,0,0
390490009203009,0,0,0
390490009203010,0,0,0
390490009203011,1,1,1
390490009203012,0,0,0
390490009203013,0,0,0
390490009203014,0,0,0
390490009203015,0,0,0
390490009203016,0,0,0
390490009203017,2,2,2
390490009203018,1,1,0
390490009203019,3,3,1
390490009203020,0,0,0
390490009203021,0,0,0
390490009203022,0,0,0
390490009203023,0,0,0
390490009203024,3,3,1
390490009203025,0,0,0
390490009203026,0,0,0
390490009203027,1,1,1
390490009203028,2,2,0
390490009203029,1,1,1
390490009203030,2,2,2
390490009203031,0,0,0
390490009203032,1,1,0
390490009203033,0,0,0
390490009203034,0,0,0
390490009203035,0,0,0
390490009203036,0,0,0
390490009203037,1,1,1
390490009203038,0,0,0
390490009203039,0,0,0
390490009203040,1,1,0
390490009203041,0,0,0
390490009203042,1,1,1
390490009203043,0,0,0
390490009203044,0,0,0
390490009203045,0,0,0
390490009203046,0,0,0
390490009203047,0,0,0
390490009203048,0,0,0
390490009203049,3,2,0
390490009203050,0,0,0
390490010001000,1,1,0
390490010001001,1,1,1
390490010001002,4,1,1
390490010001003,1,1,1
390490010001004,2,2,2
390490010001005,2,1,1
390490010001006,2,2,1
390490010002000,1,1,1
390490010002001,3,1,1
390490010002002,2,2,1
390490010002003,1,0,0
390490010002004,0,0,0
390490010002005,2,2,0
390490010002006,4,3,3
390490010002007,1,1,1
390490010002008,2,1,0
390490010003000,1,0,0
390490010003001,2,0,0
390490010003002,3,2,0
390490010003003,1,1,1
390490010003004,3,1,1
390490010003005,1,1,1
390490010003006,3,3,1
390490010003007,0,0,0
390490010003008,0,0,0
390490010003009,0,0,0
